Team,ID
Atlanta Hawks,37
Boston Celtics,38
Brooklyn Nets,51
Charlotte Hornets,66
Chicago Bulls,41
Cleveland Cavaliers,39
Dallas Mavericks,42
Denver Nuggets,43
Detroit Pistons,65
Golden State Warriors,44
Houston Rockets,45
Indiana Pacers,54
Los Angeles Clippers,46
Los Angeles Lakers,47
Memphis Grizzlies,63
Miami Heat,48
Milwaukee Bucks,49
Minnesota Timberwolves,50
New Orleans Pelicans,40
New York Knicks,52
Oklahoma City Thunder,60
Orlando Magic,53
Philadelphia 76ers,55
Phoenix Suns,56
Portland Trailblazers,57
Sacramento Kings,58
San Antonio Spurs,59
Toronto Raptors,61
Utah Jazz,62
Washington Wizards,64